,#,Link,Text,Correctness,OCR Output (Gemini - Flash),OCR Output with Text Priming (Gemini - Flash)
,1,https://minio.nl.samagra.io/assessment-images/ap_955139_11_42766918_20250217051749.jpg,"हम सब फल खा गए।
शमा छत पर ताली बजा।",Teacher marked 8/10+ words correct,"हम सब फल खा गये।
शमा छत पर ताल बजा।",
,2,https://minio.nl.samagra.io/assessment-images/ap_15279_11_035931658_20250217044126.jpg,"यह कप मत भरा कर
जय यह पान मत खाना
तेज़ हवा का झोंका आया
कल सब लोग खुश थे",Teacher marked 15/20+ words correct,"घट कप मत भरा कर।
जय यह पान मत खाना।
तेज हवा का झोका आया।
कल सब लोग खुश थे।",
,3,https://minio.nl.samagra.io/assessment-images/ap_15269_11_40446725_20250220073646.jpg,"डर कर मत रहा कर
यह सब कब घटा था
छाया दिन भर गाना गाती
चाकू को सिल पर घिस",Teacher marked 15/20+ words correct,,"डर कर मत रहा कर
यह सब कब घटा था
छाया दिन भर गाना गाती
चाकू को सिल पर घिस"
,4,https://minio.nl.samagra.io/assessment-images/ap_685780_11_41393074_20250219045755.jpg,"सब एक साथ वन गए
हार मत मान काम कर",Teacher marked 8/10+ words correct,"ख सब एक साथ बन गया
हा मत मान काम कर",
,5,https://minio.nl.samagra.io/assessment-images/ap_994993_11_42645755_20250227050142.jpg,"कल तक यह काम कर
अब जय का कहा मान",Teacher marked 8/10+ words correct,,
,6,https://minio.nl.samagra.io/assessment-images/ap_955101_11_38461332_20250219091939.jpg,"कल हम सब हार गए
घर चल कर बात कर
माता के लिए खाना लगा
यश रोज़ गाता है",Teacher marked 15/20+ words correct,,
,7,https://minio.nl.samagra.io/assessment-images/ap_723431_11_37564848_20250219085434.jpg,"हर पल लड़ाई मत कर
उस तट पर नाव लाना
मेज़ पर खत रख दो
राजू मीठा पान ले आना",Teacher marked 15/20+ words correct,,"हर पल लड़ाई मत कर 
उस तट पर नाव लाना 
मेज पर खत रख दो 
राजू मीठा पान ले आना"
,8,https://minio.nl.samagra.io/assessment-images/ap_1032124_11_41577773_20250221045534.jpg,"छत पर बात मत कर
जय एक लाल माला रख",Teacher marked 8/10+ words correct,,
,9,https://minio.nl.samagra.io/assessment-images/ap_733764_11_39311111_20250221085713.jpg,"इस घास पर मत चल
कल वह यात्रा पर गया",Teacher marked 8/10+ words correct,,
,10,https://minio.nl.samagra.io/assessment-images/ap_723644_11_42154243_20250221044039.jpg,"जय अब धन दान कर
राजा दस बार पाठ पढ़ा",Teacher marked 8/10+ words correct,,
