,#,Link,Text,Correctness,OCR Output (Gemini - Flash),OCR Output with Text Priming (Gemini - Flash),Word Evaluations,Accuracy,Correct Words,Total Words,Evaluation JSON,Local Image
,1,https://minio.nl.samagra.io/assessment-images/ap_955139_11_42766918_20250217051749.jpg,"हम सब फल खा गए।
शमा छत पर ताली बजा।",Teacher marked 8/10+ words correct,हम सब फल रखा गाये। शमा. छत पर ताल बजा।,,"[{""reference_word"": ""हम"", ""transcribed_word"": ""हम"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""सब"", ""transcribed_word"": ""सब"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""फल"", ""transcribed_word"": ""फल"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""खा"", ""transcribed_word"": ""रखा"", ""match"": false, ""reason_diff"": ""Spelling error: Transcribed 'रखा' vs reference 'खा' (different character).""}, {""reference_word"": ""गए।"", ""transcribed_word"": ""गाये।"", ""match"": false, ""reason_diff"": ""Spelling error: Transcribed 'गाये।' vs reference 'गए।' (different character).""}, {""reference_word"": ""शमा"", ""transcribed_word"": ""शमा."", ""match"": false, ""reason_diff"": ""Extra character: '.' in 'शमा.'""}, {""reference_word"": ""छत"", ""transcribed_word"": ""छत"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""पर"", ""transcribed_word"": ""पर"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""ताली"", ""transcribed_word"": ""ताल"", ""match"": false, ""reason_diff"": ""Spelling error: Transcribed 'ताल' vs reference 'ताली' (missing 'ई' matra).""}, {""reference_word"": ""बजा।"", ""transcribed_word"": ""बजा।"", ""match"": true, ""reason_diff"": ""Exact match.""}]",60.00%,6,10,evaluation_1_20250616_181209.json,images/image_1_20250616_181202.jpg
,2,https://minio.nl.samagra.io/assessment-images/ap_15279_11_035931658_20250217044126.jpg,"यह कप मत भरा कर
जय यह पान मत खाना
तेज़ हवा का झोंका आया
कल सब लोग खुश थे",Teacher marked 15/20+ words correct,यह कप मत भरा कर जय यह पान मत खाना तेज हवा का झोका आया कल सब लोग खुश थे,,"[{""reference_word"": ""यह"", ""transcribed_word"": ""यह"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""कप"", ""transcribed_word"": ""कप"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""मत"", ""transcribed_word"": ""मत"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""भरा"", ""transcribed_word"": ""भरा"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""कर"", ""transcribed_word"": ""कर"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""जय"", ""transcribed_word"": ""जय"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""यह"", ""transcribed_word"": ""यह"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""पान"", ""transcribed_word"": ""पान"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""मत"", ""transcribed_word"": ""मत"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""खाना"", ""transcribed_word"": ""खाना"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""तेज़"", ""transcribed_word"": ""तेज"", ""match"": false, ""reason_diff"": ""Spelling error: Transcribed 'तेज' vs reference 'तेज़' (missing chandrabindu).""}, {""reference_word"": ""हवा"", ""transcribed_word"": ""हवा"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""का"", ""transcribed_word"": ""का"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""झोंका"", ""transcribed_word"": ""झोका"", ""match"": false, ""reason_diff"": ""Spelling error: Transcribed 'झोका' vs reference 'झोंका' (missing chandrabindu).""}, {""reference_word"": ""आया"", ""transcribed_word"": ""आया"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""कल"", ""transcribed_word"": ""कल"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""सब"", ""transcribed_word"": ""सब"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""लोग"", ""transcribed_word"": ""लोग"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""खुश"", ""transcribed_word"": ""खुश"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""थे"", ""transcribed_word"": ""थे"", ""match"": true, ""reason_diff"": ""Exact match.""}]",90.00%,18,20,evaluation_2_20250616_181217.json,images/image_2_20250616_181209.jpg
,3,https://minio.nl.samagra.io/assessment-images/ap_15269_11_40446725_20250220073646.jpg,"डर कर मत रहा कर
यह सब कब घटा था
छाया दिन भर गाना गाती
चाकू को सिल पर घिस",Teacher marked 15/20+ words correct,डर कर मत रहा कर यह सब कब घटा था छाया दिन भर गाना गाती चाकू को सिल पर घिस,"डर कर मत रहा कर
यह सब कब घटा था
छाया दिन भर गाना गाती
चाकू को सिल पर घिस","[{""reference_word"": ""डर"", ""transcribed_word"": ""डर"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""कर"", ""transcribed_word"": ""कर"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""मत"", ""transcribed_word"": ""मत"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""रहा"", ""transcribed_word"": ""रहा"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""कर"", ""transcribed_word"": ""कर"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""यह"", ""transcribed_word"": ""यह"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""सब"", ""transcribed_word"": ""सब"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""कब"", ""transcribed_word"": ""कब"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""घटा"", ""transcribed_word"": ""घटा"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""था"", ""transcribed_word"": ""था"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""छाया"", ""transcribed_word"": ""छाया"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""दिन"", ""transcribed_word"": ""दिन"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""भर"", ""transcribed_word"": ""भर"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""गाना"", ""transcribed_word"": ""गाना"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""गाती"", ""transcribed_word"": ""गाती"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""चाकू"", ""transcribed_word"": ""चाकू"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""को"", ""transcribed_word"": ""को"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""सिल"", ""transcribed_word"": ""सिल"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""पर"", ""transcribed_word"": ""पर"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""घिस"", ""transcribed_word"": ""घिस"", ""match"": true, ""reason_diff"": ""Exact match.""}]",100.00%,20,20,evaluation_3_20250616_181225.json,images/image_3_20250616_181217.jpg
,4,https://minio.nl.samagra.io/assessment-images/ap_685780_11_41393074_20250219045755.jpg,"सब एक साथ वन गए
हार मत मान काम कर",Teacher marked 8/10+ words correct,सब एक साथ वन गये। हार मत मान काम कर,,"[{""reference_word"": ""सब"", ""transcribed_word"": ""सब"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""एक"", ""transcribed_word"": ""एक"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""साथ"", ""transcribed_word"": ""साथ"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""वन"", ""transcribed_word"": ""वन"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""गए"", ""transcribed_word"": ""गये।"", ""match"": false, ""reason_diff"": ""Extra character: Transcribed 'गये।' has an extra character '।' compared to reference 'गए'.""}, {""reference_word"": ""हार"", ""transcribed_word"": ""हार"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""मत"", ""transcribed_word"": ""मत"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""मान"", ""transcribed_word"": ""मान"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""काम"", ""transcribed_word"": ""काम"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""कर"", ""transcribed_word"": ""कर"", ""match"": true, ""reason_diff"": ""Exact match.""}]",90.00%,9,10,evaluation_4_20250616_181232.json,images/image_4_20250616_181226.jpg
,5,https://minio.nl.samagra.io/assessment-images/ap_994993_11_42645755_20250227050142.jpg,"कल तक यह काम कर
अब जय का कहा मान",Teacher marked 8/10+ words correct,कल तक यह काम कर अब जय का कहा मान,,"[{""reference_word"": ""कल"", ""transcribed_word"": ""कल"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""तक"", ""transcribed_word"": ""तक"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""यह"", ""transcribed_word"": ""यह"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""काम"", ""transcribed_word"": ""काम"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""कर"", ""transcribed_word"": ""कर"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""अब"", ""transcribed_word"": ""अब"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""जय"", ""transcribed_word"": ""जय"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""का"", ""transcribed_word"": ""का"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""कहा"", ""transcribed_word"": ""कहा"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""मान"", ""transcribed_word"": ""मान"", ""match"": true, ""reason_diff"": ""Exact match.""}]",100.00%,10,10,evaluation_5_20250616_181238.json,images/image_5_20250616_181232.jpg
,6,https://minio.nl.samagra.io/assessment-images/ap_955101_11_38461332_20250219091939.jpg,"कल हम सब हार गए
घर चल कर बात कर
माता के लिए खाना लगा
यश रोज़ गाता है",Teacher marked 15/20+ words correct,कल नेहम सब हार गए। घर चल कर बात करा। माता के लिए खाना लगा यश रोज गीता है,,"[{""reference_word"": ""कल"", ""transcribed_word"": ""कल"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""हम"", ""transcribed_word"": ""नेहम"", ""match"": false, ""reason_diff"": ""Spelling error: Transcribed 'नेहम' vs reference 'हम' (incorrect character).""}, {""reference_word"": ""सब"", ""transcribed_word"": ""सब"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""हार"", ""transcribed_word"": ""हार"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""गए"", ""transcribed_word"": ""गए।"", ""match"": false, ""reason_diff"": ""Extra character: Transcribed 'गए।' has an extra '।'.""}, {""reference_word"": ""घर"", ""transcribed_word"": ""घर"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""चल"", ""transcribed_word"": ""चल"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""कर"", ""transcribed_word"": ""कर"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""बात"", ""transcribed_word"": ""बात"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""कर"", ""transcribed_word"": ""करा।"", ""match"": false, ""reason_diff"": ""Spelling error: Transcribed 'करा।' vs reference 'कर' (incorrect matra and extra character).""}, {""reference_word"": ""माता"", ""transcribed_word"": ""माता"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""के"", ""transcribed_word"": ""के"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""लिए"", ""transcribed_word"": ""लिए"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""खाना"", ""transcribed_word"": ""खाना"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""लगा"", ""transcribed_word"": ""लगा"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""यश"", ""transcribed_word"": ""यश"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""रोज़"", ""transcribed_word"": ""रोज"", ""match"": false, ""reason_diff"": ""Missing matra: e.g., '़' missing in '[रोज]'.""}, {""reference_word"": ""गाता"", ""transcribed_word"": ""गीता"", ""match"": false, ""reason_diff"": ""Spelling error: Transcribed 'गीता' vs reference 'गाता' (incorrect character).""}, {""reference_word"": ""है"", ""transcribed_word"": ""है"", ""match"": true, ""reason_diff"": ""Exact match.""}]",73.68%,14,19,evaluation_6_20250616_181247.json,images/image_6_20250616_181238.jpg
,7,https://minio.nl.samagra.io/assessment-images/ap_723431_11_37564848_20250219085434.jpg,"हर पल लड़ाई मत कर
उस तट पर नाव लाना
मेज़ पर खत रख दो
राजू मीठा पान ले आना",Teacher marked 15/20+ words correct,हर पल लड़ा मत कर उस तट पर नाव लाना मेज पर सत रख दो राजू मीठा पान ले आया,"हर पल लड़ाई मत कर 
उस तट पर नाव लाना 
मेज पर खत रख दो 
राजू मीठा पान ले आना","[{""reference_word"": ""हर"", ""transcribed_word"": ""हर"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""पल"", ""transcribed_word"": ""पल"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""लड़ाई"", ""transcribed_word"": ""लड़ा"", ""match"": false, ""reason_diff"": ""Spelling error: Transcribed 'लड़ा' vs reference 'लड़ाई' (incorrect matra).""}, {""reference_word"": ""मत"", ""transcribed_word"": ""मत"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""कर"", ""transcribed_word"": ""कर"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""उस"", ""transcribed_word"": ""उस"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""तट"", ""transcribed_word"": ""तट"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""पर"", ""transcribed_word"": ""पर"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""नाव"", ""transcribed_word"": ""नाव"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""लाना"", ""transcribed_word"": ""लाना"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""मेज़"", ""transcribed_word"": ""मेज"", ""match"": false, ""reason_diff"": ""Spelling error: Transcribed 'मेज' vs reference 'मेज़' (missing '़').""}, {""reference_word"": ""पर"", ""transcribed_word"": ""पर"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""खत"", ""transcribed_word"": ""सत"", ""match"": false, ""reason_diff"": ""Spelling error: Transcribed 'सत' vs reference 'खत' (different character).""}, {""reference_word"": ""रख"", ""transcribed_word"": ""रख"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""दो"", ""transcribed_word"": ""दो"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""राजू"", ""transcribed_word"": ""राजू"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""मीठा"", ""transcribed_word"": ""मीठा"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""पान"", ""transcribed_word"": ""पान"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""ले"", ""transcribed_word"": ""ले"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""आना"", ""transcribed_word"": ""आया"", ""match"": false, ""reason_diff"": ""Spelling error: Transcribed 'आया' vs reference 'आना' (different matra).""}]",80.00%,16,20,evaluation_7_20250616_181255.json,images/image_7_20250616_181247.jpg
,8,https://minio.nl.samagra.io/assessment-images/ap_1032124_11_41577773_20250221045534.jpg,"छत पर बात मत कर
जय एक लाल माला रख",Teacher marked 8/10+ words correct,छत पर बात मत कर जय एक लाल माला रख,,"[{""reference_word"": ""छत"", ""transcribed_word"": ""छत"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""पर"", ""transcribed_word"": ""पर"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""बात"", ""transcribed_word"": ""बात"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""मत"", ""transcribed_word"": ""मत"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""कर"", ""transcribed_word"": ""कर"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""जय"", ""transcribed_word"": ""जय"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""एक"", ""transcribed_word"": ""एक"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""लाल"", ""transcribed_word"": ""लाल"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""माला"", ""transcribed_word"": ""माला"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""रख"", ""transcribed_word"": ""रख"", ""match"": true, ""reason_diff"": ""Exact match.""}]",100.00%,10,10,evaluation_8_20250616_181301.json,images/image_8_20250616_181255.jpg
,9,https://minio.nl.samagra.io/assessment-images/ap_733764_11_39311111_20250221085713.jpg,"इस घास पर मत चल
कल वह यात्रा पर गया",Teacher marked 8/10+ words correct,का निशा अब गीत गान,,"[{""reference_word"": ""इस"", ""transcribed_word"": ""का"", ""match"": false, ""reason_diff"": ""Spelling error: Transcribed 'का' vs reference 'इस' (different character).""}, {""reference_word"": ""घास"", ""transcribed_word"": ""निशा"", ""match"": false, ""reason_diff"": ""Spelling error: Transcribed 'निशा' vs reference 'घास' (different character).""}, {""reference_word"": ""पर"", ""transcribed_word"": ""अब"", ""match"": false, ""reason_diff"": ""Spelling error: Transcribed 'अब' vs reference 'पर' (different character).""}, {""reference_word"": ""मत"", ""transcribed_word"": ""गीत"", ""match"": false, ""reason_diff"": ""Spelling error: Transcribed 'गीत' vs reference 'मत' (different character).""}, {""reference_word"": ""चल"", ""transcribed_word"": ""गान"", ""match"": false, ""reason_diff"": ""Spelling error: Transcribed 'गान' vs reference 'चल' (different character).""}]",0.00%,0,5,evaluation_9_20250616_181307.json,images/image_9_20250616_181301.jpg
,10,https://minio.nl.samagra.io/assessment-images/ap_723644_11_42154243_20250221044039.jpg,"जय अब धन दान कर
राजा दस बार पाठ पढ़ा",Teacher marked 8/10+ words correct,जय अब धन दान कर राजा दस बार पाठ पढ़ा,,"[{""reference_word"": ""जय"", ""transcribed_word"": ""जय"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""अब"", ""transcribed_word"": ""अब"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""धन"", ""transcribed_word"": ""धन"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""दान"", ""transcribed_word"": ""दान"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""कर"", ""transcribed_word"": ""कर"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""राजा"", ""transcribed_word"": ""राजा"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""दस"", ""transcribed_word"": ""दस"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""बार"", ""transcribed_word"": ""बार"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""पाठ"", ""transcribed_word"": ""पाठ"", ""match"": true, ""reason_diff"": ""Exact match.""}, {""reference_word"": ""पढ़ा"", ""transcribed_word"": ""पढ़ा"", ""match"": false, ""reason_diff"": ""Spelling error: Transcribed 'पढ़ा' vs reference 'पढ़ा' (incorrect matra).""}]",90.00%,9,10,evaluation_10_20250616_181313.json,images/image_10_20250616_181307.jpg
